"ID_REF","GSM613412","GSM613413","GSM613414","GSM613415","GSM613416","GSM613417","GSM613418","GSM613419","GSM613420","GSM613421","GSM613422","GSM613423"
10338001,5192.23,5974.65,5393.02,5158.65,5244.96,5143.31,4621.77,5173.65,5811.77,5465.11,4972.57,4528.7
10338002,301.503,307.677,362.596,372.776,299.98,308.912,311.883,331.533,344.161,365.172,357.146,372.436
10338003,1850.11,2037.54,1891.18,1752.97,1718.8,1762.98,1630.54,1905.87,2141.35,1891.99,1652.14,1593.69
10338004,927.983,1140.82,936.433,918.44,930.313,926.496,793.729,936.184,1041.49,942.377,891.359,826.811
10338005,5.24974,5.0173,5.09585,3.76912,5.54982,5.27357,3.79682,4.66623,5.68881,5.25432,4.66148,3.93062
10338006,9.38796,8.48125,8.84217,6.57887,7.93186,8.89203,9.00878,8.01693,9.97759,9.42498,8.14469,7.04968
10338007,21.0537,21.9749,20.0891,18.0818,19.9469,18.8865,18.2704,18.6987,22.7294,20.6303,18.4749,17.2999
10338008,48.8305,52.5732,48.1654,52.5391,45.2881,46.7741,47.3889,50.2288,49.2914,51.5504,47.6818,48.1159
10338009,677.66,736.404,913.221,833.528,797.246,812.746,793.952,767.299,807.248,859.437,835.138,798.522
10338010,5.66375,6.36667,4.81776,4.89682,5.17924,6.31512,4.89282,5.26197,6.01668,6.8028,4.90521,4.45203
10338011,159.938,153.161,179.848,180.238,154.867,157.284,157.551,160.42,166.482,190.194,178.492,197.959
10338012,6.07778,6.89993,5.87966,4.81598,5.58604,5.69759,5.89424,5.8166,7.15998,6.99677,5.83244,4.95606
10338013,4.17175,3.70745,4.04562,3.158,3.69609,3.74637,3.08095,3.49108,4.31561,4.44728,3.74788,2.76066
10338014,3.51637,3.9791,3.8814,3.68439,3.5093,3.98211,2.72593,3.54326,4.05721,5.46812,3.79009,2.8668
10338015,4.22804,3.55486,3.93591,3.92517,3.64093,4.18051,3.49911,4.25455,5.3944,5.43364,3.91081,3.43378
10338016,502.815,540.12,633.855,641.55,564.425,551.64,548.337,588.469,595.005,658.401,666.055,628.867
10338017,10933.9,13993,11860.1,12107.1,12568.3,11483.1,8735.94,10099.7,12614.8,12476.8,12549.3,9346.9
10338018,268.682,284.949,362.186,370.725,306.618,303.43,285.602,314.307,353.627,375.624,353.031,348.087
10338019,101.489,99.5882,121.828,122.197,101.858,107.933,110.562,107.382,122.906,129.89,113.135,118.756
10338020,463.635,508.638,609.197,608.102,523.618,521.524,537.423,537.268,532.044,613.117,586.111,562.428
10338021,10.8699,11.3637,10.5289,9.81449,9.27331,9.54173,8.88684,8.77143,10.5743,10.4649,10.0062,8.66792
10338022,8.52989,8.18431,9.22973,6.99232,7.9607,8.50716,6.74702,8.11809,7.27507,9.14607,8.88417,7.02375
10338023,23.4209,23.8018,25.4233,27.1561,23.8723,24.9334,23.1238,22.4933,28.4814,28.2407,24.7041,23.1708
10338024,324.285,318.359,410.3,424.187,338.676,334.462,338.155,354.829,367.004,406.039,402.629,414.528
10338025,778.989,911.468,864.857,786.493,786.911,772.212,672.2,804.734,917.71,816.007,732.405,675.968
10338026,12998.8,15354.8,12978.3,13179.3,14184.4,13620.1,10651.4,12105.9,13148.4,13188,13811,10858.9
10338027,327.894,348.003,438.134,461.209,373.664,360.268,345.355,391.872,381.743,446.823,423.207,433.341
10338028,64.5161,63.9114,74.8095,76.2192,69.7033,69.1397,71.0318,72.0711,86.8719,80.4773,70.2791,67.064
10338029,1436.92,1941.55,1564.77,1555.62,1469.89,1527.5,1141.55,1542.74,1991.13,1673.63,1550.95,1143.83
10338030,4.69622,4.70671,4.62335,4.121,4.17565,4.56359,3.40487,4.07242,5.50975,4.59233,4.83792,3.22136
10338031,2.83958,3.26661,3.64573,2.96922,3.08852,3.27532,2.75585,2.30228,3.28688,3.59642,2.9324,2.424
10338032,3.67948,3.89751,3.68108,3.22762,3.31246,4.19718,3.65726,4.32461,4.27324,5.04213,3.59781,3.07129
10338033,232.688,229.68,287.278,310.387,242.893,249.509,246.14,260.944,279.582,303.008,303.453,302.124
10338034,40.9201,44.6393,41.1914,34.8028,37.9752,37.8658,35.5172,37.5233,44.6338,40.2149,38.6406,38.4752
10338035,1011.74,1109.17,1010.22,931.296,955.529,975.258,883.06,1014.98,1135.51,1025.34,910.819,842.218
10338036,994.982,1287.41,1015.17,954.255,1043.95,990.79,746.366,967.125,1221.09,1039.11,1003.21,782.599
10338037,140.905,208.598,263.172,259.582,216.117,268.142,226.454,267.349,303.252,258.418,271.462,228.655
10338038,0.00602051,0.00196125,0.871053,0.75054,1.50373,2.11126,4.78131,1.00097,4.16183,1.7183,1.49948,4.72314
10338039,588.679,611.223,705.474,764.967,647.398,649.553,654.61,670.948,645.088,729.518,691.002,720.016
10338040,59.6098,58.2457,69.4485,67.1118,55.6706,56.4806,61.4472,61.3979,66.7254,63.636,65.8313,66.8433
10338041,2619.67,3844.15,2869.16,2905.59,3197.21,3100.11,2225.35,2798.71,3637.29,3378.97,3201.98,2258.04
10338042,1419.7,1783.69,1539.99,1378.23,1530.66,1490.69,1156.98,1442.88,1832.25,1517.96,1498.66,1171.81
10338043,2.51923,2.08957,2.41488,2.50475,2.40912,2.796,2.25185,2.84018,2.21499,2.35964,1.73548,1.62622
10338044,4990.03,6539.16,5305.39,5122.29,5488.48,5468.77,4359.88,4978.28,6382.72,5448.43,5422.77,4304.05
10338045,412.888,637.925,554.701,423.637,589.88,569.09,548.338,407.336,572.086,567.307,518.246,370.997
10338046,52.846,55.4785,59.8415,54.4494,51.0044,51.2856,52.6146,55.0027,60.8274,57.5181,56.0272,53.8175
10338047,203.933,373.362,538.33,481.275,379.895,563.83,527.848,598.007,675.533,513.839,499.5,388.629
10338048,36.6609,38.1513,36.2922,32.1438,33.3484,33.8129,31.7025,32.6579,39.9122,37.9751,34.3671,32.0409
10338049,776.873,878.53,1009.74,1004.31,886.512,911.077,885.24,866.996,868.043,976.07,925.775,906.405
10338050,3.68073,4.27463,4.4923,3.91677,3.58907,3.64719,3.59363,3.89068,4.42037,4.40258,3.78422,3.51445
10338051,121.803,125.831,152.816,154.487,132.579,139.718,134.265,146.189,159.436,159.621,150.361,165.864
10338052,13.0612,16.0127,13.734,11.7169,13.6363,13.7612,12.0151,12.0675,15.1782,15.0564,12.9677,10.989
10338053,437.815,476.199,581.702,602.432,523.085,525.66,528.398,511.343,550.644,577.388,558.449,557.464
10338054,72.5567,70.6067,90.67,92.8614,74.3913,78.1768,79.2031,79.477,88.2161,96.6924,82.5672,89.8849
10338055,566.463,633.553,708.877,732.652,651.602,639.261,609.303,630.684,674.466,734.691,749.926,680.256
10338056,85.7267,76.5752,91.2664,90.7522,82.2283,80.0163,87.337,88.654,89.9981,90.2002,87.9428,100.843
10338057,6.44328,7.29885,6.77479,5.51831,6.00248,6.29061,4.7826,5.76837,7.04257,7.42747,6.90262,4.66824
10338058,4.92432,5.73683,6.15702,5.70053,4.98084,4.89816,4.76008,5.60991,5.38166,6.30766,5.01413,6.63433
